Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration,Year of Issue (Estimated),Year of Move (Estimated)
1984,M,LAKEWOOD,WA,98498,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1979,F,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1995,M,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1990,F,KENT,WA,98032,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1963,F,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1989,M,SEATTLE,WA,98122,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1992,M,BELLEVUE,WA,98004,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1992,M,EDMONDS,WA,98026,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1991,F,EVERETT,WA,98208,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1987,M,KIRKLAND,WA,98033,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1995,M,SHELTON,WA,98584,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1958,F,BELLINGHAM,WA,98229,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1996,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1992,F,SILVERDALE,WA,98383,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
1988,M,OLYMPIA,WA,98516,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1998,M,SEATTLE,WA,98125,OUT-OF-STATE,D,SURRENDERED,FULL,2027,2019,2026
1969,M,SPOKANE,WA,99205,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1998,M,SEATTLE,WA,98115,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1985,F,RENTON,WA,98059,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1965,F,BELLEVUE,WA,98007,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1991,F,KENT,WA,98031,OUT-OF-STATE,DM,SURRENDERED,FULL,2029,2021,2028
1997,F,JOINT BASE LEWIS MCCHORD,WA,98433,OUT-OF-STATE,D,SURRENDERED,FULL,2028,2020,2027
1986,F,SEATTLE,WA,98121,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1991,M,DES MOINES,WA,98148,OUT-OF-STATE,D,SURRENDERED,FULL,2025,2017,2024
1980,M,REDMOND,WA,98052,OUT-OF-STATE,D,SURRENDERED,FULL,2026,2018,2025
1987,M,SEATTLE,WA,98103,OUT-OF-STATE,D,SURRENDERED,FULL,2029,2021,2028
